State,Rural ST,Rural SC,Rural OBC,Rural Others,Rural All (#)
Andhra Pradesh,3772.0,4565.0,4824.0,5550.0,4870.0
Assam,3289.0,3387.0,3404.0,3523.0,3432.0
Bihar,2927.0,3058.0,3479.0,3691.0,3384.0
Chhattisgarh,2258.0,2347.0,2665.0,3187.0,2466.0
Gujarat,3412.0,3592.0,3649.0,4605.0,3798.0
Haryana,4970.0,4299.0,4771.0,5500.0,4859.0
Jharkhand,2218.0,2850.0,2997.0,3473.0,2763.0
Karnataka,4086.0,4258.0,4377.0,4952.0,4397.0
Kerala,4526.0,5058.0,5390.0,7451.0,5924.0
Madhya Pradesh,2651.0,2977.0,3302.0,3713.0,3113.0
Maharashtra,2726.0,3742.0,4017.0,4705.0,4010.0
Orissa,2384.0,2899.0,3258.0,3484.0,2950.0
Punjab,5311.0,4583.0,5335.0,6279.0,5315.0
Rajasthan,3206.0,3794.0,4527.0,5428.0,4263.0
Tamil Nadu,4713.0,4898.0,5462.0,5773.0,5310.0
Telangana,4420.0,4526.0,4937.0,5269.0,4802.0
Uttar Pradesh,2295.0,2900.0,3191.0,3747.0,3191.0
West Bengal,2658.0,3152.0,3234.0,3427.0,3239.0
All-India,3016.0,3474.0,3848.0,4392.0,3773.0
